"Aa"	"Ab"	"Ac"	"Ad"	"Ae"	"Af"	"ST01"	"SU02"	"D03"	"ST04"	"SU05"	"D06"	"D07"	"SU08"	"ST09"	"SU10"	"D11"	"ST12"	"SU13"	"D14"	"D15"	"SU16"	"ST17"	"SU18"	"D19"	"ST20"	"SU21"	"D22"	"D23"	"SU24"	"ST25"	"SU26"	"D27"	"ST28"	"SU29"	"D30"	"D31"	"SU32"	"Ca"	"Cb"	"Cc"	"Cd"	"Ce"	"Cf"	"Cg"	"Ch"	"Da"	"Db"	"Dc"	"Dd"	"De"	"Df"	"Dg"	"Dh"	"Di"	"Dj"	"age"	"attitude"	"points"	"gender"	"d_sm"	"d_ri"	"d_ue"	"deep"	"st_os"	"st_tm"	"stra"	"su_lp"	"su_um"	"su_sb"	"surf"
"1"	3	1	2	1	1	1	4	2	4	4	2	4	4	3	3	2	3	3	3	4	3	2	3	2	4	2	3	3	2	2	4	4	4	4	3	4	4	3	2	4	3	4	3	2	3	4	3	4	4	5	4	2	4	3	4	4	53	37	25	"F"	15	15	13	43	14	13	27	10	11	10	31
"2"	2	2	2	2	1	1	4	2	4	4	4	2	3	4	4	1	4	1	3	2	3	4	4	2	3	1	2	2	3	4	2	4	2	2	3	3	4	5	4	4	4	5	5	3	2	4	4	3	3	4	3	2	3	3	2	4	55	31	12	"M"	13	10	12	35	14	8	22	9	12	17	38
"3"	4	1	1	1	1	1	3	1	4	4	2	3	4	1	3	1	4	4	2	4	2	3	3	1	4	3	2	4	3	3	4	4	3	5	2	4	3	5	3	5	4	4	3	4	4	2	1	4	4	1	4	1	3	1	1	5	49	25	24	"F"	15	16	11	42	13	16	29	7	8	12	27
"4"	4	2	3	2	1	1	3	3	4	4	3	4	4	2	3	1	3	3	2	4	3	2	3	1	3	3	3	3	3	2	3	2	3	3	3	4	4	3	3	4	4	4	3	4	4	3	2	4	5	2	5	1	5	4	2	5	53	35	10	"M"	13	15	14	42	12	13	25	7	11	9	27
"5"	3	2	2	1	2	1	4	2	5	3	4	4	4	3	4	2	4	2	3	4	3	3	4	1	4	3	2	3	3	4	4	3	3	5	3	3	4	4	2	4	4	3	3	3	4	4	3	4	4	4	4	2	5	5	3	3	49	37	22	"M"	16	14	14	44	16	13	29	8	12	14	34
"6"	4	2	1	1	1	1	4	3	5	4	3	5	5	4	4	1	5	3	1	5	4	2	3	2	4	3	4	5	4	2	4	2	5	4	2	5	5	3	3	5	4	4	3	4	5	4	3	5	4	4	4	3	4	3	3	5	38	38	21	"F"	19	20	18	57	15	14	29	8	10	11	29
"7"	4	1	2	2	1	1	5	2	4	2	2	3	4	4	2	1	5	2	1	5	2	3	4	1	4	1	1	4	3	2	1	1	4	1	1	4	4	4	4	5	4	4	4	5	5	3	2	4	4	5	5	1	4	4	2	4	50	35	21	"M"	17	17	12	46	12	6	18	5	5	13	23
"8"	3	1	2	1	1	1	4	2	4	5	4	3	4	2	4	2	3	4	2	4	2	3	3	2	4	4	3	2	2	4	4	4	4	4	2	3	4	4	2	4	4	5	3	3	3	3	2	4	4	3	4	1	4	1	1	5	37	29	31	"F"	15	13	11	39	15	17	32	10	11	13	34
"9"	2	1	2	1	1	1	4	1	5	5	2	4	5	4	4	1	4	4	1	4	3	4	4	1	5	4	2	4	4	2	4	4	5	5	1	4	5	3	3	5	4	5	3	3	5	5	4	2	4	5	4	4	5	4	4	2	37	38	24	"M"	19	17	16	52	16	18	34	7	6	13	26
"10"	3	2	1	1	1	2	4	2	4	4	4	4	4	2	4	2	4	4	2	4	4	4	4	2	4	2	4	4	4	4	4	4	4	2	2	4	4	4	2	4	4	5	4	4	4	4	1	4	4	2	2	1	1	1	1	4	42	21	26	"F"	16	16	16	48	16	12	28	10	12	14	36
